,year,month,day_of_month,1,2,3,4,5,6,7,8,9,10,11,12,day>=_0_day_<5,day>=_5_day_<10,day>=_10_day_<15,day>=_15_day_<20,day>=_20_day_<25,output/day,mv_avg_2,mv_avg_3,mv_avg_4,mv_avg_5,mv_avg_7,mv_avg_10,mv_avg_15,mv_avg_20,mv_avg_25,mv_avg_30,mv_avg_45,lst_yr_mv_avg_2,lst_yr_mv_avg_3,lst_yr_mv_avg_4,lst_yr_mv_avg_5,lst_yr_mv_avg_7,lst_yr_mv_avg_10,lst_yr_mv_avg_15,lst_yr_mv_avg_20,lst_yr_mv_avg_25,lst_yr_mv_avg_30,lst_yr_mv_avg_45,target,mean,std,min,max,last_year
365,2014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,2.6666666666666665,2.75,2.4,2.5714285714285716,2.1,2.466666666666667,2.8,3.0,3.033333333333333,2.7777777777777777,1.75,2.133333333333212,1.849999999999909,1.7600000000000364,1.7857142857142858,1.4899999999999636,1.4133333333333211,1.6200000000000045,1.8360000000000036,1.7800000000000031,2.0311111111111133,80.0,70.10000000000008,13.859292911256187,60.30000000000018,79.89999999999998,60.30000000000018
366,2014,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,2.5,2.3333333333333335,2.75,2.8,2.7142857142857144,2.3,2.6,2.8,3.04,3.0,2.8222222222222224,1.900000000000091,2.066666666666606,2.2749999999998636,2.0199999999998908,1.8571428571428572,1.7399999999999636,1.5266666666666424,1.515000000000009,1.8759999999999855,1.769999999999997,2.068888888888887,81.0,72.04999999999991,18.879751057680952,58.69999999999982,85.4,58.69999999999982
367,2014,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.5,2.3333333333333335,2.25,2.6,2.4285714285714284,2.3199999999999816,2.466666666666667,2.65,3.04,2.9,2.8222222222222224,2.550000000000182,2.0666666666669093,2.150000000000091,2.3,1.9857142857143637,1.95,1.6,1.490000000000009,1.7760000000000218,1.8366666666666789,2.0844444444444483,83.0,78.64999999999992,20.435385976291368,64.19999999999982,93.10000000000002,64.19999999999982
368,2014,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,2.5,2.6666666666666665,2.5,2.4,2.7142857142857144,2.6,2.4,2.55,2.96,2.966666666666667,2.8666666666666667,1.5,1.8999999999999393,1.7000000000000455,1.8399999999999637,1.8714285714284935,1.8199999999999819,1.5,1.4799999999999727,1.7879999999999927,1.7966666666666546,2.0555555555555554,90.0,79.60000000000001,18.52619766708756,66.5,92.70000000000002,66.5
369,2014,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2.0,2.0,2.25,2.2,2.4285714285714284,2.5,2.1333333333333333,2.5,2.8,2.966666666666667,2.8444444444444446,0.5,1.1333333333335152,1.525000000000091,1.4400000000001456,1.7857142857142858,1.6400000000000545,1.4866666666666788,1.4300000000000181,1.7480000000000109,1.7833333333333485,1.968888888888897,93.0,85.00000000000009,19.374725804511264,71.30000000000018,98.69999999999999,71.30000000000018
370,2014,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.5,2.0,2.0,2.2,2.142857142857143,2.3,2.1333333333333333,2.4,2.68,2.8666666666666667,2.8,0.3000000000001819,0.39999999999993935,0.900000000000091,1.2600000000000364,1.400000000000026,1.5100000000000364,1.4133333333333211,1.375,1.548000000000011,1.740000000000009,1.9311111111111132,95.0,89.75000000000037,19.16259377015493,76.20000000000073,103.30000000000001,76.20000000000073
371,2014,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,1.6666666666666667,2.0,2.0,2.142857142857143,2.4,2.2,2.45,2.64,2.8666666666666667,2.8222222222222224,0.6499999999996362,0.566666666666606,0.5749999999998181,0.9399999999999636,1.2142857142857142,1.4799999999999272,1.473333333333297,1.3799999999999728,1.4,1.7199999999999818,1.8244444444444323,95.0,94.14999999999999,19.304015126392734,80.5,107.79999999999998,80.5
372,2014,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,2.5,2.3333333333333335,2.0,2.2,2.2857142857142856,2.4,2.279999999999988,2.4,2.56,2.9,2.8444444444444446,0.75,0.566666666666606,0.525000000000091,0.5399999999999636,1.1142857142857403,1.4199999999999817,1.4799999999999878,1.3349999999999909,1.3,1.570000000000012,1.8155555555555616,93.0,97.25000000000017,17.88980156401938,84.60000000000036,109.89999999999998,84.60000000000036
373,2014,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,2.6666666666666665,2.5,2.2,2.2857142857142856,2.3,2.466666666666667,2.35,2.48,2.8333333333333335,2.8666666666666667,0.650000000000091,0.7999999999998787,0.6499999999998636,0.6,0.8571428571428571,1.2199999999999818,1.4133333333333211,1.275,1.303999999999978,1.5899999999999939,1.8155555555555516,94.0,103.45000000000019,18.879751057680572,90.10000000000036,116.80000000000001,90.10000000000036
374,2014,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2.0,2.3333333333333335,2.25,2.2,2.142857142857143,2.2,2.4,2.15,2.44,2.7,2.8,0.5499999999997272,0.5,0.6499999999998636,0.5599999999998545,0.5428571428570389,1.0,1.2799999999999878,1.2549999999999728,1.2559999999999854,1.549999999999985,1.731111111111103,94.0,105.29999999999973,19.374725804511787,91.59999999999945,119.0,91.59999999999945
